deepseekr1,llama3,meditronv3
0.5539854433895512,0.5936390068382025,0.3522784717913185
0.5825413511518169,0.3875392280519009,0.0342854872826853
0.6741174198139239,0.515965419033399,0.5215633471185962
0.6240522090126487,0.509398127307317,0.4112556722636024
0.5937263366273221,0.543266217357346,0.3751425373678406
0.4783210647292435,0.5090990152209998,0.4010570723077525
0.663054149520273,0.6110075789575393,0.4806559990004946
0.5201244625047996,0.5315672030140247,0.4150963146239519
0.4704929962754249,0.6139908263991986,0.4578191027618371
0.6540347044356167,0.655132968111762,0.39636943731457
0.5229245298542082,0.6120585442831119,0.3688457849332028
0.7682783626729534,0.5405149912604919,0.387991776787921
0.5450070416554809,0.5547271999530494,0.4909841309373195
0.7005004721693695,0.691546937605987,0.4090319569444373
0.6857288941918385,0.7695114753829936,0.3322039682063318
0.5726447067059138,0.5471598666959575,0.3937870891143878
0.4798032904920332,0.6167127525966082,0.491933400527789
0.6161448298131719,0.5817140356770584,0.3467890500490154
0.6846425448145185,0.5827128985275825,0.4345230383000203
0.6941310544074937,0.4772662139896835,0.3951353260449001
0.6435892748597422,0.6163656422151969,0.4097244686314037
0.678148313704878,0.5581347003046956,0.451217640346537
0.6227148478342728,0.6190910095969836,0.4524641028450181
0.501611564210371,0.5377126006143433,0.4453255450353026
0.5504757763119414,0.4468918597468963,0.3255701203209658
